temporada_alta,dif_min,atraso_15,periodo_dia
1,3.0,0,noche
1,9.0,0,noche
1,9.0,0,noche
1,3.0,0,noche
1,-2.0,0,noche
1,34.0,1,noche
1,-5.0,0,noche
1,-5.0,0,noche
1,40.0,1,noche
1,69.0,1,noche
1,-9.0,0,noche
1,14.0,0,noche
1,-7.0,0,noche
1,-4.0,0,noche
1,-11.0,0,noche
1,-9.0,0,noche
1,-9.0,0,noche
1,-12.0,0,noche
1,15.0,0,noche
1,-2.0,0,noche
1,2.0,0,noche
1,8.0,0,noche
1,-5.0,0,noche
1,52.0,1,noche
1,-5.0,0,noche
1,0.0,0,noche
1,26.0,1,noche
1,-3.0,0,noche
1,-5.0,0,noche
1,2.0,0,noche
1,2.0,0,noche
1,-7.0,0,noche
1,-1.0,0,noche
1,5.0,0,noche
1,-4.0,0,noche
1,1.0,0,noche
1,-5.0,0,noche
1,3.0,0,noche
1,-2.0,0,noche
1,-4.0,0,noche
1,-6.0,0,noche
1,4.0,0,noche
1,-4.0,0,noche
1,-4.0,0,noche
1,-9.0,0,noche
1,-10.0,0,noche
1,0.0,0,noche
1,-2.0,0,noche
1,1.0,0,noche
1,-4.0,0,noche
1,10.0,0,noche
1,20.0,1,noche
1,11.0,0,noche
1,24.0,1,noche
1,-5.0,0,noche
1,-7.0,0,noche
1,14.0,0,noche
1,5.0,0,noche
1,0.0,0,noche
1,25.0,1,noche
1,1.0,0,noche
1,0.0,0,noche
1,-4.0,0,noche
1,13.0,0,noche
1,-3.0,0,noche
1,2.0,0,noche
1,-5.0,0,noche
1,0.0,0,noche
1,-2.0,0,noche
1,3.0,0,noche
1,-9.0,0,noche
1,5.0,0,noche
1,-3.0,0,noche
1,-4.0,0,noche
1,-10.0,0,noche
1,-9.0,0,noche
1,62.0,1,noche
1,2.0,0,noche
1,-8.0,0,noche
1,19.0,1,tarde
1,60.0,1,tarde
1,17.0,1,tarde
1,26.0,1,tarde
1,14.0,0,tarde
1,67.0,1,tarde
1,84.0,1,tarde
1,63.0,1,tarde
1,97.0,1,tarde
1,17.0,1,tarde
1,90.0,1,tarde
1,130.0,1,tarde
1,24.0,1,tarde
1,77.0,1,tarde
1,32.0,1,tarde
1,39.0,1,tarde
1,48.0,1,tarde
1,6.0,0,tarde
1,2.0,0,tarde
1,28.0,1,tarde
1,11.0,0,tarde
1,33.0,1,tarde
1,69.0,1,tarde
1,20.0,1,tarde
1,3.0,0,tarde
1,22.0,1,tarde
1,21.0,1,tarde
1,22.0,1,tarde
1,27.0,1,tarde
1,6.0,0,tarde
1,20.0,1,noche
1,17.0,1,noche
1,19.0,1,noche
1,47.0,1,noche
1,5.0,0,noche
1,63.0,1,noche
1,55.0,1,noche
1,53.0,1,noche
1,105.0,1,noche
1,20.0,1,noche
1,72.0,1,noche
1,26.0,1,noche
1,99.0,1,noche
1,52.0,1,noche
1,33.0,1,noche
1,147.0,1,noche
1,18.0,1,noche
1,25.0,1,noche
1,5.0,0,noche
1,21.0,1,noche
1,13.0,0,noche
1,21.0,1,noche
1,11.0,0,noche
1,-4.0,0,noche
1,-1.0,0,noche
1,8.0,0,noche
1,6.0,0,noche
1,-4.0,0,noche
1,6.0,0,noche
1,-4.0,0,tarde
1,0.0,0,tarde
1,3.0,0,tarde
1,-1.0,0,tarde
1,-10.0,0,tarde
1,16.0,1,tarde
1,-1.0,0,tarde
1,1.0,0,tarde
1,14.0,0,tarde
1,8.0,0,tarde
1,7.0,0,tarde
1,7.0,0,tarde
1,5.0,0,tarde
1,17.0,1,tarde
1,1.0,0,tarde
1,12.0,0,tarde
1,-3.0,0,tarde
1,33.0,1,tarde
1,6.0,0,tarde
1,-4.0,0,tarde
1,8.0,0,tarde
1,7.0,0,tarde
1,-1.0,0,tarde
1,3.0,0,tarde
1,-7.0,0,tarde
1,12.0,0,tarde
1,-2.0,0,tarde
1,7.0,0,tarde
1,14.0,0,tarde
1,14.0,0,tarde
1,-5.0,0,tarde
1,-11.0,0,noche
1,13.0,0,noche
1,-2.0,0,noche
1,-12.0,0,noche
1,7.0,0,noche
